natural_command,bash_command
Find all directories under $1/.hg and set their SGID bit,"find ""$1""/.hg -type d -print0 | xargs chmod g+s"
Find all Makefile's in the current directory tree and look for line 235 in each of them,find . -name Makefile -print0 | xargs -0 grep -nH $ | grep :235:
print the names of all of the unstripped binaries in the /usr/local directory tree. Builtin tests avoid running file on files that are not regular files or are not executable,find /usr/local -type f -perm /a=x | xargs file |  grep 'not stripped' | cut -d: -f1
Find all regular files recursively in the current directory,find . -type f
Remove all .php files in the /var/www/ directory,find /var/www/*.php -type f -exec rm {} \;
Find all files in $dir directory (non-recursive) and count them,"find ""$dir"" -maxdepth 1 -type f | wc -l"
delete all the files in the current folder  which do not belong to any user,find / -nouser -exec rm {}\;
"Find all files named ""file.ext"" in the current directory tree and print the path names of the directories they are in","find $PWD -name ""file.ext"" -exec sh -c 'echo $' ';'"
Search for files/directories with a case insensitive .txt extension in entire file system,find / -iname '*.txt'
Find all files/directories under '/usr' directory tree that have been modified exactly 5 minutes ago,find /usr -mmin 5
Find all files/directories under current directory that match the case insensitive regex ./\.* and show several lines of output from the beginning,find . -iregex './\.*' | head
Show all files in /etc that are owned by root have been modified within the last minute,find /etc/ -user root -mtime 1
change to a directory and search for a file in that directory,cd /nfs//office/ && find . -name '.user.log'
Remove all regular files under '/var/log/remote' directory tree that have not been modified in the last 14 days where day count starts from today,find /var/log/remote/ -daystart -mtime +14 -type f -exec rm {} \;
Find all broken symlinks under current directory,find -type l -xtype l
Find all *.* files under current directory,find . -type f -a -name '*.*'
Find all files/directories with 777 permission under '/apps/audit' and strip write permission for 'other' from them,find /apps/audit -perm -7 -print | xargs chmod o‑w
Use the octal form to find and print detailed information about all regular files in your home directory and below that have only the group permission set.,find . -perm 040 -type f -exec ls -l {} \;
Find all files on the system whose names are 'autoload.php',find / -name autoload.php
search for files in current folder using name patterns,"find . -name ""S1A*1S*SAFE"""
search for all the files in the current directory which have been modified in the last 24 hours.,find . -mtime -1
"search for all the files ending with ""fits"" in the folder ""/store/01""","find /store/01 -name ""*.fits"""
Find every file/directory under /var/spool that was modified more than 60 days ago.,find /var/spool -mtime +60
"Search all files called ""abc"" that reside in the current directory tree for string ""xyz""",find . -name abc | xargs grep xyz
change the owner of all the files in the file system which belong to the user with the uid 999,find / -user 999 -exec chown NEWUSER {} \;
Find files and directories with the name RAID but don't traverse a particular directory,find . -name RAID -prune -o -print
Find all file.ext files/directories under present working directory and print . for each of them,"find `pwd` -name ""file.ext"" -exec echo $ \;"
"Find all files in the current directory and below with extension .php and replace ""php"" with ""html"" in their names","find ./ -type f -name ""*.php""  | xargs -r rename ""s/php/html/"""
find all files in current folder using name patterns,"find . -iregex "".*packet.*"""
Find all files/directories under current directory tree with inode number 211028 and move them to 'newname.dir',find . -inum 211028 -exec mv {} newname.dir \;
Find all files under current directory and set read permission for group and other for these files,find . -type f -print0 | xargs -0 chmod go+r
Remove trailing white spaces from all files under dir directory and keep backups of the originals,"find dir -type f -print0 | xargs -0 sed -i .bak -E ""s/[[:space:]]*$//"""
"search for the directory ""mysql"" in the /etc folder",find /etc -name mysql -type d
Remove all *.bak and *.backup files that were accessed last time more than 30 days ago,find . \ -type f -atime +30 -exec rm '{}' ';'
"Search the regular files of the current directory tree for string ""whatever""",find . -type f | xargs -L 100 grep whatever
"Copy all files from the current directory tree to /path/to/destination/dir preserving their times, permissions, and ownership",find . | cpio -pdumv /path/to/destination/dir
display all the directories in the current folder for the files which have not been accessed in the last 48 hours,find . -type d -atime +2
Move files older than 1 day to directory TMP,find . -atime +1 -type f -exec mv {} TMP \;
Find *.avi and *.flv files in /path/to/your/directory and below and copy them to /path/to/specific/folder,find /path/to/your/directory -regex '.*\.\(avi\|flv\)' -exec cp {} /path/to/specific/folder \;
Md5sum the last 5 files in /directory1/directory2/,find /directory1/directory2/ -maxdepth 1 -type f | sort | tail -n 5 | xargs md5sum
"Find all files in current directory excluding hidden files, archive them and put the output into variable  full_backup_dir","full_backup_dir=""$(find . -depth \ -prune -o -print | cpio -oav)"""
force remove all the regular/normal files which begin with sess in the temp folder,find /tmp -type f -name sess* -exec rm -f {} \;
Find all *.jpg files in */201111 paths,"find */201111 -name ""*.jpg"""
"Find files with pattern ""*[!0-9][1-9].txt""  and execute chmod and ls command with AND condition then sort the output","sudo find -name ""*[!0-9][1-9].txt"" -exec chmod 744 '*' {} \; -a -exec ls -l {} \; | sort | parallel ls -l"
Find all catalina* files/directories under /path/to/search/in,find /path/to/search/in -name 'catalina*'
display all the .sh scripts in the folder /usr,find /usr -name \*.sh
"List all files/directories under current directory matching the posix-egrep type regex "".+\.$"" in their names excluding the files that contain 'generated' or 'deploy' in their paths",find . -regextype posix-egrep -regex '.+\.$' -print0 | grep -vzZ generated | grep -vzZ deploy | xargs -0 ls -1Ld
List all files under current directory matching the regex '.*\.\',find . -type f -regex '.*\.\' -exec ls {} \;
Calculate the total size of all *.jpg files in the directory tree,"find . -name ""*jpg"" -exec du -k {} \; | awk '{ total += $1 } END { print total/1024 "" Mb total"" }'"
display all files which have been modified between two dates in current folder,"find . -type f -newermt ""2014-01-01"" ! -newermt ""2014-06-01"""
Find all files/directories under '/home/user/' directory tree whose status were changed 10 minutes ago,find /home/user/ -cmin 10 -print
Find all *.mov  files under current directory and run an ffmpeg command with the path and the name for each file,"find . -iname ""*.mov"" -print0 | xargs -0 -i sh -c 'ffmpeg -i {} -f flv `basename {}`'"
Find all regular files with name pattern $filename under $fileloc directory tree,"find ""$fileloc"" -type f -prune -name ""$filename"" -print"
Find files on the system created during the last 50 days,find / -ctime -50
find all the findme.txt files in the file system,find / -name findme.txt -type f -print
Count all the lines of all files with names ending with 'php' in current directory recursively,find -name '*php' | xargs cat | wc -l
"Search for all the directories in directories taken from the glob pattern '/path/to/folders/*' and add the extension "".mbox"" to all and create directories named 'Messages' inside them",find /path/to/folders/* -type d -exec mv {} {}.mbox \; -exec mkdir {}.mbox/Messages \;
"search for all text files in the directory ""/path/to/inputfiles"" and pass them as input to the shell script in exec command and save the output to the file out.txt","find /path/to/inputfiles -name ""*.txt"" -exec /path/to/myprogram.sh {} \; > Out.txt"
Look for `regexp' in binary files,find .  -type f -print|xargs file|grep -i text|cut -fl -d:    | xargs grep regexp
search for all regular/normal files in current folder and display all the files which contain 16 lines,find . -type f -print0 | xargs -0 grep -cH '' | awk -F: '$2==16'
display all the text and pdf files in the current folder,"find . -regex "".*\(\.txt\|\.pdf\)$"""
Find all files that have wrong permission,find / \ \ -ls
Find all *.mp3 files in entire file system greater than 10MB and delete them,find / -type f -name *.mp3 -size +10M -exec rm {} \;
find all the video files in the home folder,find ~ -type f -exec file -i {} + | grep video
Set 644 permission to all regular files under current directory,find . -type f -exec chmod 644 {} \;
Test if files named 'something' were found in YOUR_DIR,"[[ ! -z `find 'YOUR_DIR/' -name 'something'` ]] && echo ""found"" || echo ""not found"""
looks for all files larger than 10 megabytes  within /home,find /home -type f -size +10485760c -print
